Month,temp_max_daily,temp_min_daily,temp_max_extreme,temp_min_extreme,rainfall_total,rainfall_max_daily,rainy_days,sunshine_mean_daily,humidity_min,humidity_mean_24hr
2020-07-01,31,25.5,32.5,23.7,140.8,30.4,22,5.7,53,78.2
2020-06-01,31,25.5,33,23.7,233.8,41,21,4.3,53,80.2
2020-05-01,32.2,26.1,34.5,23.6,255.6,53.8,16,5.7,50,79.1
2020-04-01,33,26,34.6,23.8,188,51.8,12,7.1,46,76.4
2020-03-01,32.9,25.9,34,24.1,108.8,47.4,8,7.6,44,75.2
2020-02-01,31.7,25.3,33.1,23.7,65,23.8,8,8.3,45,76
2020-01-01,31.7,25.2,32.8,23.8,88.4,38,6,7.1,43,77.9
2019-12-01,30.1,24.6,32.3,22.7,421.5,74.2,14,4.8,47,83.9
2019-11-01,32.3,25.4,34.4,22.9,137.4,73.4,15,5.5,45,79.2
2019-10-01,32.7,25.3,34.4,22.9,176.8,92.2,15,6.5,38,78.1
2019-09-01,33,26.6,34.3,22.9,22.8,16.4,4,6.7,37,73
2019-08-01,32.7,27.1,34,24.5,11.8,3.8,6,7.6,35,72.1
2019-07-01,32.1,26.9,33.4,23.9,12.2,6.6,8,7.5,45,75.2
2019-06-01,31.3,26.1,33,23.3,173.8,37.6,16,5.3,47,79.5
2019-05-01,32.7,26.5,34.7,22.8,69,17.2,13,7,52,79.2
2019-04-01,32.7,25.9,34.5,22.7,174.8,52.4,9,5.9,48,77.6
2019-03-01,33.5,25.6,34.8,22.3,72.2,29,6,8.3,40,72.3
2019-02-01,32.8,25.4,34.1,21.9,31.6,13.4,5,9.2,46,74.1
2019-01-01,31.7,25.6,33.4,23.5,63.6,38.2,9,7.1,47,75.6
2018-12-01,31.6,25.3,33.8,23.6,172.6,43.8,19,5.1,47,81.5
2018-11-01,31,24.6,33.4,22.4,169.6,20.6,27,3.8,53,83.2
2018-10-01,31.9,25.2,34.5,22.5,234.4,60.6,18,6.1,33,79.7
2018-09-01,31.2,25.3,33,21.4,144.4,45,13,6,48,77.1
2018-08-01,31.7,26.1,33.2,21.9,121.6,34.6,11,6.7,39,77
2018-07-01,31.3,26,33,21.9,143.2,32.4,10,6.1,50,77.7
2018-06-01,31.3,25.6,33.4,22.9,182.6,46.8,17,4.1,51,79.3
2018-05-01,32.4,26.2,34.2,23.6,132.2,47.4,19,5.8,43,79
2018-04-01,33.2,25.8,35,22.6,61.2,14,14,6.8,39,78.5
2018-03-01,32.4,25.4,34.2,23.6,44.6,15.2,10,6.4,49,78.4
2018-02-01,31.2,24.8,33.5,23.5,14.8,13,5,8,49,77.2
2018-01-01,29.8,24,33.2,21.3,287,45.8,25,4.1,44,86.6
2017-12-01,30.8,24.6,33.5,23.2,371.2,69.8,23,5.6,51,85.2
2017-11-01,30.8,24.6,32.5,23.1,268.6,45.2,24,4.2,60,86.3
2017-10-01,31.6,25.3,34.6,23.5,120.8,31.2,18,5.5,45,82.5
2017-09-01,31.2,25.4,32.4,22.3,124.4,20.2,19,5.7,55,81
2017-08-01,31,25.9,33,23.7,84.2,29.4,18,6.1,54,79.9
